connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('integer division or modulo by zero',)..RECONNECTING
connected to 192.168.1.30
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 42 R: 23
L: 41 R: 23
L: 40 R: 24
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 39 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 26
L: 40 R: 25
L: 41 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 24
L: 42 R: 22
L: 42 R: 22
L: 43 R: 21
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 20
L: 45 R: 19
L: 45 R: 19
L: 46 R: 18
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 16
L: 49 R: 15
L: 49 R: 15
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
L: 55 R: 11
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
L: 51 R: 15
L: 51 R: 15
L: 51 R: 15
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 51 R: 14
L: 46 R: 19
L: 46 R: 19
L: 46 R: 19
L: 46 R: 20
L: 46 R: 20
L: 46 R: 20
L: 46 R: 20
L: 46 R: 20
L: 46 R: 20
L: 42 R: 23
L: 42 R: 23
L: 39 R: 26
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 37 R: 29
L: 36 R: 29
L: 36 R: 29
L: 35 R: 30
L: 35 R: 30
L: 35 R: 30
L: 35 R: 30
L: 35 R: 30
L: 35 R: 30
L: 35 R: 30
L: 33 R: 32
L: 33 R: 32
L: 32 R: 33
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 29 R: 35
L: 29 R: 35
L: 27 R: 37
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 39
L: 26 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 27 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 26 R: 40
L: 25 R: 40
L: 25 R: 40
L: 24 R: 41
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 21 R: 44
L: 20 R: 45
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 18 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
L: 10 R: 55
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
FAILURE TO RECV..('float division by zero',)..RECONNECTING
connected to 192.168.1.30
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 16 R: 49
L: 19 R: 45
L: 19 R: 45
L: 21 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 22 R: 44
L: 23 R: 42
L: 23 R: 42
L: 24 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 40
L: 25 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 26 R: 39
L: 25 R: 40
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 23 R: 42
L: 23 R: 42
L: 22 R: 42
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 21 R: 43
L: 20 R: 44
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 19 R: 45
L: 19 R: 45
L: 19 R: 46
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 18 R: 47
L: 18 R: 47
L: 17 R: 47
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 48
L: 17 R: 47
L: 18 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 19 R: 47
L: 18 R: 46
L: 19 R: 47
L: 19 R: 46
L: 19 R: 46
L: 19 R: 46
L: 19 R: 46
L: 19 R: 46
L: 19 R: 46
L: 19 R: 46
L: 21 R: 44
L: 24 R: 41
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 36
L: 29 R: 36
L: 29 R: 36
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 29 R: 35
L: 29 R: 35
L: 29 R: 35
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 34
L: 29 R: 35
L: 29 R: 36
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 36
L: 29 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 35
L: 30 R: 34
L: 30 R: 34
L: 31 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 32
L: 33 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 34 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 32
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 31 R: 34
L: 30 R: 35
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 29 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 37
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 28 R: 38
L: 27 R: 38
L: 26 R: 38
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 25 R: 39
L: 24 R: 40
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 23 R: 41
L: 22 R: 42
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 21 R: 44
L: 21 R: 44
L: 20 R: 45
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 45
L: 20 R: 45
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 46
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 45
L: 20 R: 44
L: 21 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 43
L: 23 R: 42
L: 24 R: 41
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 25 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 24 R: 41
L: 23 R: 41
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 22 R: 42
L: 22 R: 42
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 42
L: 22 R: 42
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 22 R: 43
L: 23 R: 42
L: 23 R: 42
L: 23 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 42
L: 24 R: 41
L: 24 R: 41
L: 24 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 25 R: 40
L: 26 R: 39
L: 26 R: 39
L: 27 R: 38
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 28 R: 36
L: 29 R: 36
L: 29 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 29 R: 36
L: 29 R: 35
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 36
L: 30 R: 35
L: 30 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 35
L: 31 R: 34
L: 31 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 34
L: 32 R: 33
L: 32 R: 33
L: 32 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 33 R: 33
L: 32 R: 33
L: 32 R: 33
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 32
L: 32 R: 33
L: 32 R: 33
